epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,554.456,1.32999,1.44338,1.09877,0.8208,0.61364,0.76974,0.45402,1.37492,1.74471,1.10847,0.005743,0.005743,0.005743
45,566.942,1.37193,1.37048,1.07839,0.80721,0.54545,0.60665,0.32705,1.78945,2.28657,1.44031,0.005644,0.005644,0.005644
46,579.725,1.31967,1.36695,1.06565,0.7573,0.70927,0.74124,0.49881,1.08284,1.53544,1.01966,0.005545,0.005545,0.005545
47,592.436,1.30049,1.22847,1.10288,0.44705,0.36364,0.33874,0.11202,2.39061,2.18572,1.86642,0.005446,0.005446,0.005446
48,605.213,1.23841,1.26871,1.08437,0.64469,0.06818,0.09261,0.03932,3.23872,9.90678,2.47458,0.005347,0.005347,0.005347
49,617.824,1.24197,1.29705,1.05902,0.46925,0.42211,0.39697,0.18048,1.84842,3.31275,1.46543,0.005248,0.005248,0.005248
50,630.297,1.2123,1.26404,1.0111,0.93965,0.70783,0.85915,0.54732,1.18327,0.98871,1.07081,0.005149,0.005149,0.005149
51,642.99,1.23163,1.19189,1.06418,0.75251,0.72727,0.77389,0.52322,1.10206,1.38344,1.05854,0.00505,0.00505,0.00505
52,655.657,1.3417,1.34733,1.10533,0.67538,0.66205,0.63643,0.4068,1.25631,2.11738,1.13437,0.004951,0.004951,0.004951
53,668.294,1.20115,1.36828,1.03559,0.66268,0.5,0.54986,0.17556,2.18972,2.07541,1.49284,0.004852,0.004852,0.004852
54,681.159,1.21789,1.17854,1.06308,0.11473,0.25,0.07932,0.04128,2.65941,9.9379,2.08183,0.004753,0.004753,0.004753
55,693.93,1.22895,1.21306,1.02661,0.8704,0.76336,0.7979,0.56244,1.05619,1.21869,0.9753,0.004654,0.004654,0.004654
56,706.591,1.26113,1.18047,1.06733,0.79576,0.70848,0.81429,0.58065,1.00215,1.10881,0.97709,0.004555,0.004555,0.004555
57,719.453,1.1663,1.12806,1.03533,0.91663,0.70455,0.84977,0.62548,0.95535,0.97615,0.95993,0.004456,0.004456,0.004456
58,732.087,1.21367,1.20913,1.06579,0.86933,0.75614,0.7986,0.4801,1.33573,1.24687,1.08253,0.004357,0.004357,0.004357
59,744.882,1.16499,1.14747,1.07186,0.42665,0.52273,0.46265,0.29012,1.40352,6.70976,1.23178,0.004258,0.004258,0.004258
60,757.361,1.15071,1.3065,0.98317,0.90957,0.77273,0.83114,0.60171,1.01925,0.96838,0.98228,0.004159,0.004159,0.004159
61,770.079,1.21042,1.17208,1.05807,0.94442,0.75,0.86356,0.57847,1.09663,1.00688,1.00187,0.00406,0.00406,0.00406
62,782.707,1.09168,1.14389,1.02506,0.92575,0.70455,0.85241,0.62398,1.00376,1.02691,0.9569,0.003961,0.003961,0.003961
63,795.375,1.25331,1.19427,1.01739,0.73979,0.81818,0.85289,0.61336,1.0064,0.95614,0.95217,0.003862,0.003862,0.003862
64,808.009,1.20451,1.27053,1.03927,0.88964,0.73295,0.81795,0.58217,1.02329,1.0958,0.98062,0.003763,0.003763,0.003763
65,821.343,1.16598,1.18674,1.00499,0.85198,0.72727,0.80234,0.5294,1.12465,1.16398,1.01644,0.003664,0.003664,0.003664
66,835.024,1.20928,1.2576,1.04795,0.87062,0.76478,0.82637,0.59041,1.03475,0.95168,0.99474,0.003565,0.003565,0.003565
67,848.688,1.09666,1.2184,0.96559,0.89515,0.77273,0.87214,0.60969,1.05457,0.8759,1.00199,0.003466,0.003466,0.003466
68,861.179,1.11073,1.05893,0.9878,0.91069,0.77273,0.83722,0.62514,0.9607,1.30954,0.98101,0.003367,0.003367,0.003367
69,873.79,1.16366,1.22625,1.00257,0.5623,0.61315,0.52338,0.34583,1.24944,5.25523,1.10987,0.003268,0.003268,0.003268
70,886.387,1.15976,1.11718,1.00379,0.20712,0.43182,0.19485,0.09435,2.42012,8.84769,1.79498,0.003169,0.003169,0.003169
