epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1095.02,1.51292,1.16714,1.00534,0.55785,0.51324,0.51952,0.24823,1.60484,1.25417,0.99599,0.005743,0.005743,0.005743
45,1119.83,1.42659,1.16903,0.99804,0.58017,0.53088,0.56575,0.2751,1.61486,1.20314,0.99106,0.005644,0.005644,0.005644
46,1144.67,1.42006,1.13081,1.01817,0.5903,0.67686,0.64021,0.29887,1.52941,1.16292,0.96417,0.005545,0.005545,0.005545
47,1169.59,1.43206,1.24079,0.99806,0.53006,0.5903,0.51036,0.23033,1.70047,1.47681,1.01679,0.005446,0.005446,0.005446
48,1194.28,1.44139,1.2177,1.00208,0.58695,0.63186,0.59608,0.27431,1.62759,1.19387,1.01845,0.005347,0.005347,0.005347
49,1218.96,1.37941,1.10438,0.99029,0.43547,0.51863,0.52044,0.25198,1.67202,1.20366,1.03073,0.005248,0.005248,0.005248
50,1243.86,1.47162,1.17429,0.98394,0.89068,0.29431,0.35029,0.13848,1.93704,13.6702,1.14979,0.005149,0.005149,0.005149
51,1268.8,1.4327,1.20217,1.0135,0.55281,0.59402,0.54421,0.25941,1.63879,1.08156,1.01883,0.00505,0.00505,0.00505
52,1293.53,1.47305,1.24546,0.99443,0.57658,0.65588,0.55814,0.2567,1.55739,1.45406,1.01086,0.004951,0.004951,0.004951
53,1318.24,1.42265,1.24874,1.02493,0.59395,0.62598,0.57793,0.27807,1.57843,1.13591,1.01519,0.004852,0.004852,0.004852
54,1342.98,1.48223,1.16679,0.99553,0.67967,0.55302,0.5208,0.2572,1.53275,1.51946,0.97757,0.004753,0.004753,0.004753
55,1367.82,1.47519,1.24173,0.98413,0.6443,0.48333,0.54066,0.26921,1.54036,1.2429,1.00401,0.004654,0.004654,0.004654
56,1392.53,1.38325,1.22757,0.99129,0.57108,0.55493,0.55909,0.27581,1.62904,1.18878,1.00323,0.004555,0.004555,0.004555
57,1417.24,1.39118,1.18916,0.95676,0.57035,0.57206,0.51783,0.27483,1.56249,1.22488,0.98874,0.004456,0.004456,0.004456
58,1442.13,1.4442,1.1879,0.98153,0.4709,0.58916,0.50376,0.21998,1.66649,2.75694,1.05257,0.004357,0.004357,0.004357
59,1467.03,1.38576,1.03922,0.95514,0.46019,0.39402,0.42007,0.20266,1.74571,1.90987,1.15669,0.004258,0.004258,0.004258
60,1491.94,1.33424,1.12955,0.97265,0.34504,0.31176,0.36819,0.182,1.63181,1.96347,1.01249,0.004159,0.004159,0.004159
61,1516.66,1.32312,1.10493,0.95273,0.45231,0.51811,0.47139,0.24537,1.49917,1.19138,0.97275,0.00406,0.00406,0.00406
62,1541.36,1.39011,1.10263,0.98155,0.47147,0.65241,0.5567,0.26956,1.52408,1.10049,0.99612,0.003961,0.003961,0.003961
63,1566.27,1.3565,1.06515,0.96902,0.62409,0.63186,0.56482,0.27586,1.5004,1.1336,0.98842,0.003862,0.003862,0.003862
64,1590.92,1.33343,1.04,0.99253,0.4913,0.62936,0.52972,0.25376,1.61115,1.3423,1.02565,0.003763,0.003763,0.003763
65,1615.77,1.35253,1.04395,0.95733,0.42391,0.68692,0.53175,0.27598,1.57413,1.20836,1.00433,0.003664,0.003664,0.003664
66,1640.48,1.32516,1.07142,0.97145,0.60792,0.55441,0.55529,0.28019,1.53741,1.07083,1.00251,0.003565,0.003565,0.003565
